Date;Open;High;Low;Close;Volume
2024-03-25 00:00:00;168,76;175,24;168,73;172,63;74228625
2024-03-26 00:00:00;178,58;184,25;177,38;177,67;113186203
2024-03-27 00:00:00;181,41;181,91;176;179,83;81804039
2024-03-28 00:00:00;177,45;179,57;175,3;175,79;77654844
2024-04-01 00:00:00;176,17;176,75;170,21;175,22;81562125
2024-04-02 00:00:00;164,75;167,69;163,43;166,63;116650602
2024-04-03 00:00:00;164,02;168,82;163,28;168,38;82950141
2024-04-04 00:00:00;170,07;177,19;168,01;171,11;123162000
2024-04-05 00:00:00;169,08;170,86;160,51;164,9;143157594
2024-04-08 00:00:00;169,34;174,5;167,79;172,98;104423297
2024-04-09 00:00:00;172,91;179,22;171,92;176,88;103232703
2024-04-10 00:00:00;173,04;174,93;170,01;171,76;84532406
2024-04-11 00:00:00;172,55;175,88;168,51;174,6;94515992
2024-04-12 00:00:00;172,34;173,81;170,36;171,05;64722672
2024-04-15 00:00:00;170,24;170,69;161,38;161,48;100245297
2024-04-16 00:00:00;156,74;158,19;153,75;157,11;96999961
2024-04-17 00:00:00;157,64;158,33;153,78;155,45;82439719
2024-04-18 00:00:00;151,25;152,2;148,7;149,93;96098828
2024-04-19 00:00:00;148,97;150,94;146,22;147,05;87074492
2024-04-22 00:00:00;140,56;144,44;138,8;142,05;107097602
2024-04-23 00:00:00;143,33;147,26;141,11;144,68;124545102
2024-04-24 00:00:00;162,84;167,97;157,51;162,13;181178000
2024-04-25 00:00:00;158,96;170,88;158,36;170,18;126427508
2024-04-26 00:00:00;168,85;172,12;166,37;168,29;109815695
2024-04-29 00:00:00;188,42;198,87;184,54;194,05;243869703
2024-04-30 00:00:00;186,98;190,95;182,84;183,28;127031797
2024-05-01 00:00:00;182;185,86;179,01;179,99;92829719
2024-05-02 00:00:00;182,86;184,6;176,02;180,01;89148039
2024-05-03 00:00:00;182,1;184,78;178,42;181,19;75491539
2024-05-06 00:00:00;183,8;187,56;182,2;184,76;84390250
2024-05-07 00:00:00;182,4;183,26;177,4;177,81;75045852
2024-05-08 00:00:00;171,59;176,06;170,15;174,72;79969484
2024-05-09 00:00:00;175,01;175,62;171,37;171,97;65950289
2024-05-10 00:00:00;173,05;173,06;167,75;168,47;72627188
2024-05-13 00:00:00;170;175,4;169;171,89;67018898
2024-05-14 00:00:00;174,5;179,49;174,07;177,55;86407422
2024-05-15 00:00:00;179,9;180;173,11;173,99;79662992
2024-05-16 00:00:00;174,1;175,79;171,43;174,84;59812219
2024-05-17 00:00:00;173,55;179,63;172,75;177,46;77445852
2024-05-20 00:00:00;177,56;177,75;173,52;174,95;61727434
2024-05-21 00:00:00;175,51;186,88;174,71;186,6;115266492
2024-05-22 00:00:00;182,85;183,8;178,12;180,11;88313477
2024-05-23 00:00:00;181,8;181,9;173,26;173,74;71975508
2024-05-24 00:00:00;174,84;180,08;173,73;179,24;65584477
2024-05-28 00:00:00;176,4;178,25;173,16;176,75;59736621
2024-05-29 00:00:00;174,19;178,15;173,93;176,19;54782648
2024-05-30 00:00:00;178,58;182,67;175,38;178,79;77784758
2024-05-31 00:00:00;178,5;180,32;173,82;178,08;67314602
2024-06-03 00:00:00;178,13;182,64;174,49;176,29;68568922
2024-06-04 00:00:00;174,78;177,76;174;174,77;60056340
2024-06-05 00:00:00;175,35;176,15;172,13;175;57953762
2024-06-06 00:00:00;174,6;179,73;172,73;177,94;69887023
2024-06-07 00:00:00;176,13;179,35;175,58;177,48;56244930
2024-06-10 00:00:00;176,06;178,57;173,17;173,79;50869680
2024-06-11 00:00:00;173,92;174,75;167,41;170,66;64761930
